/usr/bin/ld.gold
warning: the gold linker is deprecated and has known bugs with Rust
  |
  = help: consider using LLD or ld from GNU binutils instead

warning: `wavebreak-math-fuzz` (bin "wb_math") generated 1 warning
    Finished `release` profile [optimized] target(s) in 0.16s
Persistent signature found in 'hfuzz_target/x86_64-unknown-linux-gnu/release/wb_math'. Enabling persistent fuzzing mode
Start time:'2026-08-18.11.41.23' bin:'hfuzz_target/x86_64-unknown-linux-gnu/release/wb_math', input:'hfuzz_workspace/wb_math/input', output:'hfuzz_workspace/wb_math/input', persistent:true, stdin:false, mutation_rate:5, timeout:2, max_runs:0, threads:4, minimize:false, git_commit:380cf14962c64e3fa902d9442b6c6513869116ed
[2J[500B[2026-08-18T11:41:23-0700][W][19302] sanitizers_AddFlag():67 The 'ASAN_OPTIONS' envar is already set. Not overriding it!
Entering phase 1/3: Dry Run
Launched new fuzzing thread, no. #0
Launched new fuzzing thread, no. #1
Launched new fuzzing thread, no. #2
Launched new fuzzing thread, no. #3
Persistent mode: Launched new persistent pid=19353
Persistent mode: Launched new persistent pid=19351
Sz:64 Tm:356us (i/b/h/e/p/c) New:0/0/0/0/0/9, Cur:0/0/0/4/0/35
Sz:64 Tm:544us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/9
Sz:256 Tm:962us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/39
Sz:95 Tm:866us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/9
Sz:483 Tm:1,422us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/39
Sz:32 Tm:16us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/20
Sz:119 Tm:105us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/33
Sz:128 Tm:46us (i/b/h/e/p/c) New:0/0/0/0/0/5, Cur:0/0/0/1/0/569
Sz:64 Tm:1,239us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/20
Sz:139 Tm:2,283us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/114
Sz:54 Tm:18us (i/b/h/e/p/c) New:0/0/0/4/0/21, Cur:0/0/0/4/0/31
Sz:81 Tm:21us (i/b/h/e/p/c) New:0/0/0/0/0/38, Cur:0/0/0/0/0/25
Sz:64 Tm:61us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/25
Sz:100 Tm:3,319us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/20
Sz:64 Tm:290us (i/b/h/e/p/c) New:0/0/0/1/0/0, Cur:0/0/0/1/0/18
Sz:79 Tm:93us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/1/0/16
Sz:0 Tm:409us (i/b/h/e/p/c) New:0/0/0/6/2/74, Cur:0/0/0/6/0/25
Sz:64 Tm:660us (i/b/h/e/p/c) New:0/0/0/1/0/2, Cur:0/0/0/1/0/19
Sz:66 Tm:316us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/20
Sz:146 Tm:598us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/40
Sz:119 Tm:62us (i/b/h/e/p/c) New:0/0/0/0/0/21, Cur:0/0/0/1/0/17
Sz:117 Tm:39us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/0/0/8
Sz:80 Tm:20us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/13
Sz:4 Tm:29us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/12
Sz:8 Tm:22us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/12
Sz:32 Tm:14us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/11
Sz:64 Tm:25us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/11
Sz:89 Tm:18us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/6
Sz:82 Tm:32us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/7
Sz:7 Tm:14us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/10
Sz:58 Tm:18us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/23
Sz:4 Tm:22us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/13
Sz:128 Tm:20us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/12
Sz:140 Tm:859us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/12
Sz:8 Tm:31,163us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/20
Sz:16 Tm:618us (i/b/h/e/p/c) New:0/0/0/0/0/17, Cur:0/0/0/0/0/32
Sz:2048 Tm:16us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/3
Sz:4096 Tm:37us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/3
Sz:128 Tm:17us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/8
Sz:131 Tm:24us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/8
Sz:82 Tm:29us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/6
Sz:64 Tm:27us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/4
Sz:108 Tm:15us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/11
Sz:64 Tm:14us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/13
Sz:79 Tm:22us (i/b/h/e/p/c) New:0/0/0/0/0/9, Cur:0/0/0/0/0/13
Sz:64 Tm:15us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/4
Sz:119 Tm:23us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/4
Sz:16 Tm:17us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/3
Sz:64 Tm:32us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/1
Sz:75 Tm:52us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/9
Sz:130 Tm:18us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/9
Sz:64 Tm:18us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/1
Sz:64 Tm:8,267us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/0/0/35
